x	u	v
5.26761711478382	0.528853096376184	0.848796366476606
5.31496418162203	0.568448337848744	0.822805331180721
5.36231123854644	0.60676859093354	0.794968715995364
5.40965828555706	0.643727902523361	0.765348957274109
5.45700532265392	0.679243372082783	0.734012490971871
5.50435234983702	0.713235337593223	0.701029603628376
5.55169936710638	0.745627554233898	0.666474274714885
5.59904637446201	0.776347365397915	0.630424010697785
5.64639337190392	0.805325865659902	0.592959671191243
5.69374035943212	0.832498055329665	0.554165287588895
5.74108733704664	0.857802986245206	0.514127874581362
5.78843430474748	0.881183898478113	0.47293723498237
5.83578126253467	0.902588347644681	0.430685758301267
5.8831282104082	0.921968322537243	0.387468213513727
5.93047514836809	0.939280352811853	0.34338153649547
5.97782207641437	0.954485606490795	0.298524612595786
