x	 theta	 theta'
1.8327829199471	-0.451317790901836	0.988953011390458
1.84928447079482	-0.434735282536713	1.02018627105297
1.86564310608609	-0.417798785105125	1.04978078249378
1.88186451735868	-0.400537471988067	1.07774223949885
1.89795467697202	-0.382978940044419	1.10407793365192
1.91391979813117	-0.365149261686926	1.12879645041918
1.9297662976212	-0.34707304828771	1.15190739075118
1.94550076179059	-0.328773522174804	1.17342111902203
1.96112991612728	-0.310272594781907	1.19334853723249
1.97666059860204	-0.291590948847875	1.21170088469647
1.99209973681626	-0.272748122903783	1.22848956190648
2.00745432888454	-0.25376259661466	1.24372597691438
2.0227314279046	-0.234651875847898	1.25742141234646
2.03793812981477	-0.2154325766138	1.26958691106901
2.0530815644074	-0.196120507262717	1.28023317850679
2.06816888925175	-0.176730748527734	1.28937049966944
