# x    f(x)    r1(x)   r2(x)   err1    err2
4.5553 4.413888 4.502371 4.352901 8.848E-002 6.099E-002
4.5867 4.424922 4.503818 4.380731 7.890E-002 4.419E-002
4.6181 4.439940 4.505137 4.410623 6.520E-002 2.932E-002
4.6496 4.459346 4.506728 4.442560 4.738E-002 1.679E-002
4.6810 4.483435 4.509004 4.476502 2.557E-002 6.933E-003
4.7124 4.512389 4.512389 4.512389 0.000E+000 0.000E+000
4.7438 4.546267 4.517315 4.550137 2.895E-002 3.870E-003
4.7752 4.585010 4.524214 4.589644 6.080E-002 4.634E-003
4.8066 4.628435 4.533512 4.630789 9.492E-002 2.354E-003
4.8381 4.676249 4.545625 4.673438 1.306E-001 2.811E-003
4.8695 4.728047 4.560948 4.717442 1.671E-001 1.061E-002
4.9009 4.783327 4.579848 4.762642 2.035E-001 2.069E-002
4.9323 4.841502 4.602653 4.808873 2.388E-001 3.263E-002
4.9637 4.901913 4.629645 4.855964 2.723E-001 4.595E-002
4.9951 4.963845 4.661045 4.903740 3.028E-001 6.011E-002
5.0265 5.026548 4.697011 4.952028 3.295E-001 7.452E-002
5.0580 5.089251 4.737619 5.000657 3.516E-001 8.859E-002
5.0894 5.151183 4.782865 5.049458 3.683E-001 1.017E-001
5.1208 5.211594 4.832654 5.098271 3.789E-001 1.133E-001
5.1522 5.269769 4.886799 5.146943 3.830E-001 1.228E-001
5.1836 5.325049 4.945018 5.195327 3.800E-001 1.297E-001
5.2150 5.376847 5.006941 5.243290 3.699E-001 1.336E-001
5.2465 5.424661 5.072117 5.290707 3.525E-001 1.340E-001
5.2779 5.468087 5.140019 5.337465 3.281E-001 1.306E-001
5.3093 5.506829 5.210063 5.383462 2.968E-001 1.234E-001
5.3407 5.540708 5.281621 5.428609 2.591E-001 1.121E-001
5.3721 5.569661 5.354035 5.472826 2.156E-001 9.684E-002
5.4035 5.593751 5.426643 5.516046 1.671E-001 7.770E-002
5.4350 5.613157 5.498788 5.558212 1.144E-001 5.494E-002
5.4664 5.628175 5.569840 5.599279 5.833E-002 2.890E-002
5.4978 5.639209 5.639209 5.639209 0.000E+000 0.000E+000
5.5292 5.646760 5.706356 5.677974 5.960E-002 3.121E-002
5.5606 5.651417 5.770809 5.715555 1.194E-001 6.414E-002
5.5920 5.653838 5.832158 5.751942 1.783E-001 9.810E-002
5.6235 5.654738 5.890070 5.787128 2.353E-001 1.324E-001
5.6549 5.654867 5.944282 5.821117 2.894E-001 1.663E-001
5.6863 5.654996 5.994603 5.853915 3.396E-001 1.989E-001
5.7177 5.655895 6.040909 5.885535 3.850E-001 2.296E-001
5.7491 5.658316 6.083138 5.915992 4.248E-001 2.577E-001
5.7805 5.662973 6.121281 5.945308 4.583E-001 2.823E-001
5.8119 5.670525 6.155381 5.973507 4.849E-001 3.030E-001
5.8434 5.681559 6.185518 6.000613 5.040E-001 3.191E-001
5.8748 5.696577 6.211810 6.026657 5.152E-001 3.301E-001
5.9062 5.715983 6.234400 6.051667 5.184E-001 3.357E-001
5.9376 5.740072 6.253451 6.075675 5.134E-001 3.356E-001
5.9690 5.769026 6.269142 6.098714 5.001E-001 3.297E-001
6.0004 5.802904 6.281662 6.120818 4.788E-001 3.179E-001
6.0319 5.841647 6.291205 6.142019 4.496E-001 3.004E-001
6.0633 5.885073 6.297968 6.162352 4.129E-001 2.773E-001
6.0947 5.932886 6.302145 6.181851 3.693E-001 2.490E-001
6.1261 5.984684 6.303928 6.200549 3.192E-001 2.159E-001
6.1575 6.039965 6.303503 6.218481 2.635E-001 1.785E-001
6.1889 6.098139 6.301050 6.235678 2.029E-001 1.375E-001
6.2204 6.158550 6.296739 6.252174 1.382E-001 9.362E-002
6.2518 6.220482 6.290733 6.267999 7.025E-002 4.752E-002
6.2832 6.283185 6.283185 6.283185 0.000E+000 0.000E+000
