Training done in 50000 iterations, SSE=1.399986E-004
#  x    g(x)    net(x)    net'(x)    net''(x)    A(x)
  0.240    1.02521    0.92546   -1.39569  -23.92022     -17.58842
  0.250    1.01021    0.91032   -1.63147  -23.22176     -17.57924
  0.260    0.99289    0.89286   -1.85988  -22.44806     -17.57023
  0.270    0.97333    0.87315   -2.08019  -21.60287     -17.56139
  0.280    0.95161    0.85128   -2.29171  -20.69017     -17.55277
  0.290    0.92782    0.82735   -2.49378  -19.71424     -17.54437
  0.300    0.90205    0.80144   -2.68580  -18.67958     -17.53623
  0.310    0.87441    0.77367   -2.86720  -17.59088     -17.52835
  0.320    0.84500    0.74414   -3.03745  -16.45303     -17.52076
  0.330    0.81394    0.71296   -3.19611  -15.27108     -17.51347
  0.340    0.78135    0.68025   -3.34275  -14.05022     -17.50651
  0.350    0.74733    0.64614   -3.47700  -12.79573     -17.49987
  0.360    0.71202    0.61076   -3.59857  -11.51297     -17.49359
  0.370    0.67554    0.57422   -3.70718  -10.20737     -17.48766
  0.380    0.63803    0.53666   -3.80266   -8.88438     -17.48211
  0.390    0.59961    0.49821   -3.88483   -7.54943     -17.47693
  0.400    0.56042    0.45900   -3.95362   -6.20796     -17.47215
  0.410    0.52058    0.41918   -4.00899   -4.86532     -17.46775
  0.420    0.48024    0.37887   -4.05094   -3.52679     -17.46376
  0.430    0.43953    0.33821   -4.07955   -2.19758     -17.46018
  0.440    0.39858    0.29732   -4.09494   -0.88273     -17.45700
  0.450    0.35752    0.25635   -4.09727    0.41286     -17.45423
  0.460    0.31648    0.21542   -4.08677    1.68443     -17.45187
  0.470    0.27560    0.17466   -4.06368    2.92746     -17.44992
  0.480    0.23499    0.13419   -4.02833    4.13760     -17.44838
  0.490    0.19478    0.09413   -3.98105    5.31075     -17.44724
  0.500    0.15509    0.05460   -3.92225    6.44304     -17.44650
  0.510    0.11603    0.01572   -3.85234    7.53088     -17.44614
  0.520    0.07772   -0.02241   -3.77179    8.57093     -17.44618
  0.530    0.04026   -0.05968   -3.68109    9.56014     -17.44659
  0.540    0.00374   -0.09600   -3.58076   10.49576     -17.44737
  0.550   -0.03172   -0.13126   -3.47136   11.37532     -17.44851
  0.560   -0.06604   -0.16540   -3.35345   12.19667     -17.44999
  0.570   -0.09914   -0.19831   -3.22763   12.95797     -17.45181
  0.580   -0.13094   -0.22992   -3.09450   13.65768     -17.45395
  0.590   -0.16136   -0.26018   -2.95468   14.29459     -17.45640
  0.600   -0.19034   -0.28900   -2.80882   14.86777     -17.45915
  0.610   -0.21781   -0.31633   -2.65754   15.37662     -17.46218
  0.620   -0.24373   -0.34213   -2.50150   15.82085     -17.46547
  0.630   -0.26804   -0.36635   -2.34134   16.20044     -17.46902
  0.640   -0.29072   -0.38895   -2.17771   16.51568     -17.47279
  0.650   -0.31171   -0.40989   -2.01124   16.76713     -17.47679
  0.660   -0.33100   -0.42917   -1.84257   16.95562     -17.48099
  0.670   -0.34856   -0.44674   -1.67233   17.08224     -17.48537
  0.680   -0.36439   -0.46261   -1.50113   17.14832     -17.48992
  0.690   -0.37847   -0.47676   -1.32956   17.15543     -17.49461
  0.700   -0.39080   -0.48920   -1.15821   17.10535     -17.49944
  0.710   -0.40139   -0.49993   -0.98764   17.00005     -17.50439
  0.720   -0.41025   -0.50896   -0.81839   16.84171     -17.50944
  0.730   -0.41740   -0.51630   -0.65098   16.63266     -17.51457
  0.740   -0.42286   -0.52199   -0.48590   16.37537     -17.51976
  0.750   -0.42665   -0.52603   -0.32362   16.07248     -17.52500
  0.760   -0.42882   -0.52847   -0.16459   15.72671     -17.53027
  0.770   -0.42939   -0.52933   -0.00922   15.34089     -17.53556
  0.780   -0.42842   -0.52867    0.14210   14.91794     -17.54086
  0.790   -0.42594   -0.52651    0.28902   14.46083     -17.54613
  0.800   -0.42202   -0.52290    0.43122   13.97257     -17.55138
  0.810   -0.41670   -0.51790    0.56838   13.45623     -17.55659
  0.820   -0.41004   -0.51155    0.70026   12.91485     -17.56173
  0.830   -0.40211   -0.50391    0.82661   12.35149     -17.56681
  0.840   -0.39297   -0.49504    0.94722   11.76920     -17.57181
  0.850   -0.38269   -0.48499    1.06194   11.17096     -17.57671
  0.860   -0.37133   -0.47382    1.17060   10.55975     -17.58150
  0.870   -0.35897   -0.46160    1.27310    9.93844     -17.58618
  0.880   -0.34567   -0.44838    1.36934    9.30986     -17.59073
  0.890   -0.33152   -0.43423    1.45928    8.67675     -17.59515
  0.900   -0.31659   -0.41921    1.54287    8.04175     -17.59941
  0.910   -0.30095   -0.40339    1.62012    7.40738     -17.60353
  0.920   -0.28467   -0.38683    1.69103    6.77608     -17.60748
  0.930   -0.26783   -0.36959    1.75566    6.15014     -17.61126
  0.940   -0.25051   -0.35174    1.81406    5.53174     -17.61487
  0.950   -0.23278   -0.33333    1.86632    4.92293     -17.61830
  0.960   -0.21471   -0.31443    1.91256    4.32559     -17.62153
  0.970   -0.19638   -0.29510    1.95288    3.74152     -17.62458
  0.980   -0.17784   -0.27540    1.98744    3.17231     -17.62744
  0.990   -0.15918   -0.25537    2.01638    2.61946     -17.63009
  1.000   -0.14046   -0.23509    2.03988    2.08429     -17.63254
